gait_percent,iliacus,glut_max,glut_med,add_long,biceps_fem_lh,biceps_fem_sh,semitend,semimem,tib_ant,peron_brev,gastroc_med,gastroc_lat,soleus,tib_post
0.0,600.0,300.0,160.0,131.61185869994785,210.14428414850133,140.09618943233423,210.14428414850133,256.8430139592794,720.0,90.18529824708402,320.0,280.0,800.0,416.25773374004217
1.0,599.506682107068,300.8879722072778,160.47358517721483,94.09011119501409,217.59272084022763,145.0618138934851,217.59272084022763,265.9466588047227,719.4080185284815,74.69629020007419,320.94717035442966,280.82877406012597,802.3679258860742,508.13659564231074
2.0,598.0286753286194,303.548384408485,161.89247168452533,230.2072886531598,225.78076844455586,150.52051229637055,225.78076844455586,275.95427254334606,717.6344103943434,164.0821272740534,323.78494336905067,283.3118254479193,809.4623584226266,262.508189873089
3.0,595.5718126821722,307.97073717209014,164.25105982511474,170.48189789463345,234.67611247835487,156.4507416522366,234.67611247835487,286.82635969576705,714.6861752186066,81.10900692678996,328.5021196502295,287.4393546939508,821.2552991255737,393.2436927323381
4.0,592.1457902821577,314.137577492116,167.54004132912854,222.73054100236794,244.24364708261925,162.8290980550795,244.24364708261925,298.5200131009791,710.5749483385893,165.6467951221117,335.0800826582571,293.19507232597493,837.7002066456428,142.74111878926138
5.0,587.7641290737884,322.0245676671809,171.74643608916315,231.35852019041843,254.44561356925695,169.6304090461713,254.44561356925695,310.98908325131407,705.3169548885461,54.29760807391296,343.4928721783263,300.5562631560355,858.7321804458157,291.4099040362761
6.0,582.4441214720628,331.6005813502869,176.85364338681967,98.52997024200695,265.2417494373802,176.82783295825345,265.2417494373802,324.1843604234647,698.9329457664754,196.4726161939933,353.70728677363934,309.49387592693444,884.2682169340984,356.2929181811575
7.0,576.2067631165048,342.82782639029125,182.84150740815534,71.86707253822635,276.5894472710029,184.39296484733524,276.5894472710029,338.0537688867813,691.4481157398059,114.34912279146243,365.6830148163107,319.9726379642719,914.2075370407767,265.70643913400306
8.0,569.0766700109659,355.6619939802614,189.68639678947275,113.7093953889177,288.44392289104576,192.2959485940305,288.44392289104576,352.54257242238924,682.8920040131592,137.29139984398702,379.3727935789455,331.9511943815773,948.4319839473637,422.20932490804375
9.0,561.0819813755038,370.05243352409326,197.3612978795164,188.5208064104561,300.75839209803115,200.50559473202077,300.75839209803115,367.59359034203806,673.2983776506046,90.85270590898334,394.7225957590328,345.38227128915366,986.806489397582,466.07619231298827
10.0,552.2542485937369,385.9423525312737,205.83592135001263,171.32839023298413,313.484255307945,208.98950353862998,313.484255307945,383.147423154155,662.7050983124842,130.20383599820153,411.67184270002525,360.2128623625221,1029.1796067500632,439.2211423014562
